show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,score,id,duration_int,duration_type
s1762,movie,portrait of a lady on fire,nan,nan,france,2020-03-27,2019,r,121 min,"drama, history, lgbtq+","in 18th century france a young painter, marianne (noémie merlant), is commissioned to do the wedding portrait of héloïse (adèle haenel). day by day, the two women become closer as they share héloïse's last moments of freedom before the impending wedding.",53,hs1762,121,min
s1763,movie,brown girl begins,nan,nan,nan,2020-03-26,2018,tv-14,84 min,science fiction,"it’s 2049 and a druglord owns the streets of the burn. young ti-jeanne must choose between her fear of dying like her mother, or harnessing the power of the caribbean spirits to save her people.",77,hs1763,84,min
s1764,movie,margaret atwood: a word after a word after a word is power,nan,nan,nan,2020-03-20,2020,tv-ma,93 min,documentaries,"poet and novelist, margaret atwood is a household name. yet few know the private margaret atwood. who is the woman and writer behind these stories?",49,hs1764,93,min
s1765,tv show,little fires everywhere,nan,nan,nan,2020-03-18,2020,tv-ma,1 season,"black stories, drama","emmy® nominated starring reese witherspoon and kerry washington, little fires everywhere follows the intertwined fates of the picture-perfect richardson family and an enigmatic mother and daughter who upend their lives. based on celeste ng’s 2017 bestseller, the story explores the weight of secrets, the nature of art and identity, the ferocious pull of motherhood – and the danger in believing that following the rules can avert disaster.",94,hs1765,1,season
s1766,tv show,gravity,nan,nan,nan,2020-03-16,2010,tv-ma,1 season,"comedy, drama","""gravity"" follows the sometimes comic, sometimes tragic exploits of a support group from an eccentric out-patient program of suicide survivors. unlikely relationships are forged when the colorful cast faces the challenges and opportunities that come along with a second shot at life.",37,hs1766,1,season
s1767,tv show,yu-gi-oh! arc-v,nan,nan,nan,2020-03-15,2016,tv-y7,3 season,"action, anime, international","yuya sakaki’s dream is to follow in his father’s footsteps and become the greatest “duel-tainer” in history – and he just might pull it off when he suddenly discovers pendulum summoning, a never-before-seen technique that lets him summon many monsters at once! but when countless rivals emerge to steal his spotlight, yuya needs to gear up his game because dueling has evolved into a non-stop world of action!",73,hs1767,3,season
s1768,movie,big time adolescence,nan,nan,nan,2020-03-13,2020,r,91 min,comedy,"a seemingly bright and mostly innocent 16-year-old named mo (griffin gluck) attempts to navigate high school under the guidance of his best friend zeke (pete davidson), an unmotivated-yet-charismatic college dropout. although zeke genuinely cares about mo, things start to go awry as he teaches mo nontraditional life lessons in drug dealing, partying, and dating. meanwhile, mo’s well-meaning dad (jon cryer) tries to step in and take back the reins of his son’s upbringing.",13,hs1768,91,min
s1769,tv show,legion,nan,nan,"united states, canada",2020-03-13,2017,tv-ma,3 season,"action, adventure, drama","legion follows the story of david haller, a troubled young man who may be more than human. since he was a teenager, david has struggled with mental illness. diagnosed as schizophrenic, he has been in and out of psychiatric hospitals for years. but after a strange encounter with a fellow patient, david is confronted with the possibility that the voices he hears and the visions he sees might be real.",9,hs1769,3,season
s1770,tv show,love island: australia,nan,nan,australia,2020-03-13,2018,tv-ma,2 season,reality,"reality show. glamorous singles live in a beautiful villa under the watchful gaze of the audience at home, who have the power to decide who stays and who goes.",6,hs1770,2,season
s1771,tv show,taboo,nan,nan,united kingdom,2020-03-13,2017,tv-ma,1 season,"crime, drama","adventurer james keziah delaney, long believed to be dead, returns home to london from africa in 1814 in order to inherit his late father's shipping empire. all is not what it seems, however, as delaney encounters numerous enemies intent on making his life back in the united kingdom very difficult. focused on building a shipping empire to rival the imperious east india company, delaney's other wish to seek vengeance for his father's death means conspiracy, betrayal and bloodshed are also in the cards. as he works to accomplish that, delaney must also navigate increasingly complex territories in order to avoid his own death sentence.",18,hs1771,1,season
