show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,score,id,duration_int,duration_type
s1094,movie,mr. boogedy,oz scott,"richard masur, mimi kennedy, benjamin gregory, david faustino, kristy swanson, howard witt",united states,2019-11-12,1986,tv-pg,46 min,"comedy, fantasy",a new england family finds their new home is haunted by a local legend.,68,ds1094,46,min
s1095,movie,mr. duck steps out,jack king,nan,united states,2019-11-12,1940,tv-g,9 min,"animation, comedy, family",donald attempts to court daisy. see details for advisory.,63,ds1095,9,min
s1096,movie,mr. mouse takes a trip,clyde geronimi,nan,united states,2019-11-12,1940,tv-g,8 min,"animation, comedy, family",mickey mouse and pluto hit the road - and run into trouble. see details for advisory.,75,ds1096,8,min
s1097,movie,mulan ii,"darrell rooney, lynne southerland","ming-na wen, b.d. wong, mark moseley, lucy liu, harvey fierstein, sandra oh","united states, south korea, singapore, russia, malaysia, kazakhstan, taiwan, hong kong, japan, china, india, syria, iran, egypt, pakistan",2019-11-12,2005,g,82 min,"action-adventure, animation, family",mulan must complete a dangerous mission before marrying general shang.,88,ds1097,82,min
s1098,tv show,muppet moments (shorts),nan,nan,united states,2019-11-12,2014,tv-y7,1 season,"anthology, comedy, kids",join the muppets as they share unforgettable moments.,45,ds1098,1,season
s1099,movie,muppet treasure island,brian henson,"tim curry, kevin bishop, billy connolly, jennifer saunders, dave goelz, steve whitmire",united states,2019-11-12,1996,g,101 min,"action-adventure, comedy, family",the classic pirate tale gets a fun and zany muppet twist.,9,ds1099,101,min
s1100,movie,muppets most wanted,james bobin,"ricky gervais, ty burrell, tina fey, steve whitmire, eric jacobson, dave goelz",united states,2019-11-12,2014,pg,111 min,"action-adventure, comedy, family",the muppets find themselves entangled in an international crime caper.,72,ds1100,111,min
s1101,movie,my favorite martian,donald petrie,"jeff daniels, christopher lloyd, elizabeth hurley, daryl hannah, wallace shawn, christine ebersole",united states,2019-11-12,1999,pg,94 min,"comedy, science fiction",a tv reporter happens on the story of the millennium when a martian lands on earth.,23,ds1101,94,min
s1102,tv show,my friends tigger & pooh,nan,jim cummings,united states,2019-11-12,2006,tv-y,2 season,"animation, kids","pooh, tigger, and friends from the hundred acre wood welcome new neighbors",5,ds1102,2,season
s1103,movie,national treasure: book of secrets,jon turteltaub,"nicolas cage, jon voight, harvey keitel, ed harris, diane kruger, justin bartha",united states,2019-11-12,2007,pg,125 min,"action-adventure, mystery, thriller",ben gates must kidnap the president to prove his ancestor's innocence.,36,ds1103,125,min
s1104,movie,newsies,kenny ortega,"christian bale, david moscow, bill pullman, gabriel damon, luke edwards, max casella",united states,2019-11-12,1992,pg,122 min,"coming of age, drama, family",new york city paperboys battle a greedy newspaper tycoon in 1899.,54,ds1104,122,min
s1105,movie,newsies: the broadway musical,"jeff calhoun, brett sullivan","jeremy jordan, kara lindsay, ben fankhauser, andrew keenan-bolger, steve blanchard, aisha de haas",united states,2019-11-12,2017,pg,134 min,"coming of age, drama, family",gutsy newsboys take on newspaper titans in 1899. filmed live in hollywood.,6,ds1105,134,min
s1106,movie,noelle,marc lawrence,"anna kendrick, bill hader, kingsley ben-adir, billy eichner, julie hagerty, shirley maclaine",united states,2019-11-12,2019,g,105 min,"comedy, family, fantasy",kris kringle's daughter must find her brother and bring him back in time to save christmas.,49,ds1106,105,min
s1107,movie,now you see it,duwayne dunham,"alyson michalka, johnny pacar, frank langella, brendan hill, chris olivero, gabriel sunday",united states,2019-11-12,2005,tv-g,89 min,"coming of age, fantasy",an aspiring tv producer searches for the world's greatest kid magician.,25,ds1107,89,min
s1108,movie,olaf's frozen adventure,"stevie wermers-skelton, kevin deters","josh gad, idina menzel, kristen bell, jonathan groff, chris williams, john de lancie",united states,2019-11-12,2017,g,25 min,"animation, comedy, family",olaf and sven set out to save christmas for anna and elsa.,61,ds1108,25,min
s1109,movie,old yeller,robert stevenson,"dorothy mcguire, fess parker, jeff york, chuck connors, beverly washburn, tommy kirk",united states,2019-11-12,1957,g,84 min,"animals & nature, drama, family",the quintessential film about a boy's love for his dog.,2,ds1109,84,min
s1110,movie,oliver & company,george scribner,"joey lawrence, billy joel, cheech marin, richard mulligan, roscoe browne, sheryl ralph",united states,2019-11-12,1988,g,76 min,"action-adventure, animation, musical",a feisty young cat explores new york in this animated spin on oliver twist.,2,ds1110,76,min
s1111,movie,once upon a mattress,kathleen marshall,"carol burnett, tracey ullman, denis o'hare, zooey deschanel, michael boatman, edward hibbert",united states,2019-11-12,2005,tv-pg,88 min,"comedy, family, fantasy","a fractured retelling of the classic ""the princess and the pea.""",2,ds1111,88,min
s1112,movie,one magic christmas,phillip borsos,"mary steenburgen, gary basaraba, elizabeth harnois, arthur hill, wayne robson, jan rubes","canada, united states",2019-11-12,1985,g,89 min,"drama, fantasy",a young mother rediscovers the joy of christmas thanks to the unshakable faith of her daughter.,27,ds1112,89,min
s1113,movie,one man band,"mark andrews, andrew jimenez",nan,united states,2019-11-12,2006,g,5 min,"animation, comedy, family",a girl gets caught in the middle of a musical duel.,2,ds1113,5,min
s1114,movie,operation dumbo drop,simon wincer,"danny glover, ray liotta, denis leary, doug doug, corin nemec, tcheky karyo",united states,2019-11-12,1995,pg,109 min,"action-adventure, animals & nature, comedy",soldiers secretly transport an elephant across 200 miles of rugged terrain.,3,ds1114,109,min
s1115,tv show,origins: the journey of humankind,nan,"mark monroe, jason silva",united states,2019-11-12,2016,tv-14,1 season,"docuseries, historical","hosted by jason silva, this eight-part series illuminates key developments in human culture.",47,ds1115,1,season
s1116,tv show,out of the box,nan,"vivian bayubay, tony james, jill schackner, aleisha allen, cece cortes, nicholas eng",united states,2019-11-12,1998,tv-g,3 season,kids,a group of children come and play in a clubhouse made entirely out of painted cardboard boxes.,70,ds1116,3,season
s1117,movie,paris to pittsburgh,"sidney beaumont, michael bonfiglio",rachel brosnahan,united states,2019-11-12,2018,tv-pg,77 min,documentary,americans are demanding action on climate change and taking matters into their own hands.,15,ds1117,77,min
s1118,movie,partly cloudy,peter sohn,"tony fucile, lori richardson",united states,2019-11-12,2009,g,6 min,"animation, comedy, family",cloud people bring babies to life to storks to deliver,23,ds1118,6,min
s1119,movie,party central,kelsey mann,"john goodman, billy crystal, dave foley, sean hayes, joel murray, charlie day",united states,2019-11-12,2014,pg,7 min,"animation, comedy, family",mike and sulley return to monsters university.,83,ds1119,7,min
s1120,movie,perri,"n. paul kenworthy, ralph wright",winston hibler,united states,2019-11-12,1957,g,75 min,"animals & nature, documentary, family",the story of a little pine squirrel named perri and her life in the forest.,24,ds1120,75,min
s1121,movie,pete's dragon,david lowery,"bryce howard, oakes fegley, wes bentley, karl urban, oona laurence, isiah whitlock jr.",united states,2019-11-12,2016,pg,106 min,"action-adventure, family, fantasy",a mysterious boy claims to live in the woods with a giant green dragon.,93,ds1121,106,min
s1122,movie,peter pan,"hamilton luske, clyde geronimi, wilfred jackson","bobby driscoll, kathryn beaumont, hans conried, bill thompson, heather angel, paul collins",united states,2019-11-12,1953,g,79 min,"action-adventure, animation, family",adventures await when peter pan and his friends fly to never land. see details for advisory.,20,ds1122,79,min
s1123,movie,peter pan: return to never land,robin budd,"harriet owen, blayne weaver, corey burton, jeff bennett, kath soucie, andrew mcdonough","united states, canada, australia",2019-11-12,2002,g,77 min,"action-adventure, animation, family",wendy's daughter jane is whisked away to never land by captain hook.,62,ds1123,77,min
s1124,movie,phantom of the megaplex,blair treu,"taylor handley, corinne bohrer, caitlin wachs, jacob smith, rich hutchman, john novak","united states, canada",2019-11-12,2000,tv-g,89 min,"comedy, coming of age",a phantom haunting a local megaplex threatens to ruin a premiere gala.,64,ds1124,89,min
s1125,tv show,phil of the future,nan,"ricky ullman, amy bruckner, craig anton, lise simms, alyson michalka",united states,2019-11-12,2003,tv-g,2 season,"comedy, coming of age, kids",phil is just your average teenager – whose family crash-landed here from the year 2121.,35,ds1125,2,season
s1126,tv show,phineas and ferb,nan,"vincent martella, ashley tisdale, thomas sangster, caroline rhea, alyson stoner, mitchel musso","united states, south korea, china, taiwan",2019-11-12,2007,tv-g,4 season,"action-adventure, animation, comedy",phineas and ferb have big summertime adventures with friends.,50,ds1126,4,season
s1127,movie,phineas and ferb the movie: across the 2nd dimension,"dan povenmire, robert hughes","vincent martella, ashley tisdale, thomas brodie-sangster, caroline rhea, richard o'brien, dan povenmire","united states, taiwan, china",2019-11-12,2011,tv-g,79 min,"action-adventure, animation, comedy",phineas and ferb jump dimensions and learn perry is a real secret agent.,41,ds1127,79,min
s1128,movie,phineas and ferb: mission marvel,"robert hughes, sue perrotto","vincent martella, ashley tisdale, thomas brodie-sangster, caroline rhea, richard o'brien, dan povenmire",nan,2019-11-12,2013,tv-g,46 min,"action-adventure, animation, comedy",two universes collide in one epic adventure!,40,ds1128,46,min
s1129,movie,piglet's big movie,francis glebas,"john fiedler, jim cummings, andre stojka, kath soucie, nikita hopkins, peter cullen",united states,2019-11-12,2003,g,78 min,"action-adventure, animation, kids","when piglet disappears, his friends band together to find him.",73,ds1129,78,min
s1130,movie,pinocchio,"ben sharpsteen, hamilton luske","dickie jones, christian rub, cliff edwards, evelyn venable, walter catlett, charles judels",united states,2019-11-12,1940,g,90 min,"animation, family, fantasy",a little wooden puppet yearns to become a real boy.,41,ds1130,90,min
s1131,movie,piper,alan barillaro,nan,united states,2019-11-12,2016,g,6 min,"animals & nature, animation, family",a sandpiper exploring by the shore encounters scary waves.,22,ds1131,6,min
s1132,movie,pirates of the caribbean: at world's end,gore verbinski,"johnny depp, orlando bloom, keira knightley, stellan skarsgård, bill nighy, chow yun-fat",united states,2019-11-12,2007,pg-13,169 min,"action-adventure, fantasy",an alliance forms to rescue captain jack sparrow from davy jones' locker.,54,ds1132,169,min
